场景,yitu单独,shumei单独,共同uid
辱骂,110693277；116330792；115127045；132728118；132386531；127534315；113026796；59400066；107491356；78533278；112860460；116727149；132322925；132667336；132736746；117035382,132206345；132779224；27673818；132459462；114829342；119662001；21497204；83068534；132669129；132806824；132422015；132718043；82727909；131796079；119787511；131680511；47350032；122037523；129496530；132279649；116283771；132786753；82717877；132790858；112758703；132783087；115580004；127518756；127266955；132463860；132857643；132755770；132784176；132829041；86922530；48579945；132388417；53708386；130739503；127426018；25578178；58465274；132830845；93890801；36927979；65843988；49151378；52458209；90233506；80327748；108637339；132772137；83708626；121467474；103978677；119648109；132816369；91154354；130859546；77763024；132790793；127755421；78813842；66989328；132624444；49626212；31884928；113616265；39384961；132428317；121773140；132136088；101634972；132123417；132854397；114138739；100145428；121353210；87491735；43464922；129367927；121967159；128851646；87562392；60890245；35380320；79483721；117460500；109852209；117037571；107672302；132685005；132544054；78095149；127335668；68396240；127807439；130418358；79108710；129768610；100584948；119937407；128014886；132735642；132607856；99070552；92857583；132684963；126071996；95456197；119490848；128031257；132810127；49514622；53856822；132846896；80211819；128687931；132796867；132608737；132801098；113416440；47024610；113157469；112022511；132784826；40986317；127936073；56270401；82297913；132151282；132646409；109698917；52469658；31200438；97556176；132840217；131562864；66672980；127868359；62419495；98746588；32006748；26146132；126076777；132781343；98812766；132825938；107701938；127590629；76050216；119941297；121310244；73710703；108785032；36975477；132745792；99738602；132420243；132755567；37499953；132357703；128596909；43927326；77628788；51497358；132790411；99798336；130613700；128006249；82206591；132789401；127895514；120967585；132580929；78562064；270590；128829461；94044711；118851017；115680281；132852018；130711003；114501313；132617813；25073253；97366024；124679923；99586219；97607692；70823575；37312502；123174532；97168531；132803614；81306632；51585715；132492705；132740710；128456375；122472193；85080047；132730381；113133801；132189380；129057824；132722146；131503713；127625029；109314633；125592497；100468471；132147921；34740912；116450817；78089231；46486232；33840666；88571034；29380617；50267383；129692279；130578499；132594355；16455871；106617239；76885065；129183917；132728491；128174552；113768815；122875893；129474550；130985476；131902449；100208544；132514602；126411604；122218965；132842033；129636323；101595901；113162094；132842614；132788439；94360654；132787756；103400926；132804650；125513008；112384209；121201690；35838879；130502027；131521313；51819187；57315244；131624750；107696228；120823754；132110494；111595385；83741913；30355221；96096854；130002448；132330347；131738989；132667599；132707465；132772969；67875116；90421148；132621866；34149410；95228429；132842689；75397298；132750746；111791396；59910492；132772886；97131204；114098190；130768951；114531523；124310830；132562157；96998871；121725005；84473975；132840166；130239228；132713752；132825256；47007141；93512909；129693750；132702897；114623911；132859517；132828891；129440560；132803369；132761476；115729897；30908089；132488230；68467243；49796171；108259102；131457694；57716636；132509283；107652651；132779300；46228771；132704051；130338969；132757827；129576094；33335639；132736950；132757007；131672416；119048515；127258124；112662906；121354588；129007274；132879752；57834324；123388843；117862458；130818488；125460851；70843809；132836105；127749238；101233054；114101913；91023110；82207362；132314001；124557854；77865513；132806700；131443917；110774303；102292607；121394286；118576083；44907305；90821627；106752794；35971361；57165404；56440799；132660107；114857148；132655201；114113344；128530838；132681048；108511163；84672069；51830722；114056764；78713573；132729292；132782432；132809294；124941491；127611654；105438711；131453443；127807235；127414784；132577796；70422095；132821062；132358211；113901077；112092558；131452879；36630108；87307285；95219020；129258973；25701289；69475087；56280606；132794457；59293780；109477661；132357395；125258097；127304243；69874136；67507264；129544592；131483131；130803859；122104048；63793240；74288711；125840958；132190335；132842557；40044559；121425876；132856669；113349102；122380365；131350069；130600911；122764614；126147059；90686091；132761934；107648343；126073974；75749101；132425017；127339034,132237120；132827551；132013736；120854521；57823507；32351416；131455425；101010926；29895061；131869594；123845229；110439102；96630845；132625534；125606415；129516631；124896418；111922636；132695116；132774262；113885092；66632241；132520857；110002734；83599042；120500138；132846656；108366895；132785496；132699739；132614526；121380361；132020196；132364842；132788800；94039007；128649369；132051314；132818747；132777988；132524716；121125337
广告,35372773；123787712；33846225；91150516；131580383；33139085；123162942；86769017；117794330；132110494；127534139；116690728；132801810；29006373；129535689；132697743；112925950；125388058；132859517；84481210；132224538；132804177；132772137；125460851；108282075；132716721；129256245；132810129；132761697；132791011；23918109；130339113；76519543；43050361；121031088；114488785；132593027；71634259；132070237；131589675；132514602；132875623；103183179；122104048；32652827；58198062；132237120；128099398；127581345；126807681；121442788；132459598；73241705；125324279；132625534；132609467；129186285；127728626；132775205；129876522；111205429；45073170；132743551；108368380；130844382；124112801；46939941；119645271；127426018；117785953；132680866；132673040；14685439；119730028；131275264；132841661；132881086；127807439；132728573；60260254；121481973；132693957；49089858；110446063；132747446；78089231；131053753,131442163；132885704；83715940；76061982；129359045；103534615；51497358；78221582；131211116；128083308；129544592；60475509；131228862；108142800；129920337；132815158；108637339；132706899；132846647；122941782；39372389；44238703；132834796；108716952；125705577；120358833；132843901；131194268；124557854；132816751；126577178；128530838；112590601；117035382；88703973；34483326；132774262；132835690；126179939；119878136；18919845；120306675；51682650；5219126；132592351；109695138；47007141；29113844；132779300；25073253；118058552；130818488；113768815；120771872；71483737；132811778；125811277；79431312；125340309；132335647；107561087；120854521；111454511；132834517；121644415；132614526；33840666；132351406；78925862；132806700；119826126；83620558；131390354；130839293；132773465；103384661；127255729；5514948；79108710；96630845；31363950；114960427；114970920；35838879；90821627；132842689；132581764；131680511；132792712；94452026；131153342；132886377；129370008；98812766；75180823；132804502；109046294；129310580；127895514；132453002；132735642；73212703；100027853；121524341；89897195；115688085；129372439；129627289；73557320；107696228；132886646；132752040,112840426；132784978；130994595；122219251；58706892；132816756；132454768
违禁,10773305；125258097；110439102；113026796；23388725；33576325；114960427；109314832；124164621；44612419；120854521；96998871；131043848；132455219；132789401；66989328；29380617；88850248；132757827,129245390；98945959；57823507；114113344；96630845；132340545；132767487；129370008；99719113,
黑名单,,130732010；110251929；129382041；86922530；98945159；125997649；113010073；49374049；128006249；93732254；132757955；132434041；44719337；112288926；116830621；132636205；79431312；58465274；87491735；120340304；52334837；31363950；73084332；91023110；128829461；32226103；132335073；105989774；132757896；31421433；107672302；9121128；132441549；132591436；116281180；113979775；92843167；96563255；31795917；112223201；125840958；127534139；132741136；33548931；59428200；132765590；21115699；88108902；132756293；114325717；128912008；113645633；129535812；119324452；95676651；70839894；70593039；132462340；105888772；104410737；132707665；28606172；114076270；104639512；114467486,
国歌,,40071237,
娇喘声音,119880781；132697743；127534139；48972284；128443744；129893424；54597431；125708021；121125337；116024606；57716636；48661515；69986200；117785953；31363950；109945491；70422095；5375504；126398787；9121128；120757581；130003683；116606114；119716135；60684614；8622915；132667599；33228737；124164621；92030999；45073170；116098745；130302675；119026727；80053608；107237045；132011433；35949823；116824731；104472416；132665242；131275264；82050389；94039022；26574065；124778678；50528736；14488497；84839932,132842557；130974715；73084332；126076777；124068996；114079645；39384961；128106321；6763445；27911661；79242317；107672302；36927979；130540551；93473624；128012062；132756293；85395334；132614320；43050361；127936073；92487938；108368380；112926454；98857658；44238703；64666834；104977057；101270351；57823507；125840958；112223201；102871674；130394279；28994842；116342188；132755476；70714704；112338784；128912008；21171793；35844651；131390354；131023137；131719927；70349209；132282475；132146157；131166955；116105672；128392616；121503541；68606967；120256900；100621123；36127635；132299923；100418413；110115602；131327096；111367416；128745343；92843167；76979342；109979571；110986045；94360654；132659215；12040608；43464922；130944976；49626212；125822989；104738421；113632046；132096151；72186818；125740797；126153822；130792378；122941782；115882832；126447511；95249700；121310244；124527039；103534615；57056245；27270885；116605403；132237644；75856274；98295790；109145454；67845583；43101306；114596816；61879604；128786346；114076270；129359235；96897844；131357914；129385799；44670155；132813429；37632870；128453807；84980703；132796867；128337994；68824873；128960144；123550055；116755634；121442788；63793240；122543328；72411556；101259190；40986317；54863725；132791736；101233054；96931338；126179939；115350256,38403678；94171549；37967833；110975044；30155037；49275128；34594505；131159302；127931389；132785951；115804354；108656036；60096990；79831130；78033412；44395030；111568841；52043481；87322224；111853136；131507526；130711003；94169298；127150715；115993936；83862610；46460764；124577625；18647646；127133794；130278876；107552166；73241904；103090860；129749961；124270040；31497736；132650581；124819716；126074124；111424879；99470323；19419223；125205302；132456811；114651522；67072852；128778478；53146015；131354939；127731979；132422015；131612842；122859895；117304343；127081588；80077089；42283931；128530838；130224849；47024610；80743547；95444944；132636205；132751071；132761697；126106355；128655239；79544479；130243053；129535689；127632080；51448779
涉政,127258124；120618491；126741241；132869699；132848998；132666998；132789401；132386398；132723161；127255154；132760731；114960427；131738989；132481367；127680266；110260434；132765590；128933760；108652168；112562410；100418413；129943935；132752657；104157635；132791625；129747634；78221582；47620219；52688668；132105240；131975334；128031257；32226103；123992140；128977954；132789114；132852494；123182193；79610174；115680281；30410089；45124546；96998871；126917943；57649197；34483326；132833840；132769308；108811124；131056259；76050216；132761697；27704944；58355731；129122955；132793963；100447126；37717664；132561600；132868720；88285044；129942052；132780265；132885704；121858080；14685439；88108902；79952457；79754907；50528736；93473624；33587483；132816751；80999193；126079638；132796867；132810127；132728252；91023110；60026629；124053741；92049922；97556176；114852033；86922530；100208544；131759343；129870192；50267383；122596922；124577625；132787234；128716603；127612272；103315925；132877794；77763024；124562201；76960449；130845745；127728626；119826126；40071237；130658259；25701289；119648109；132786420；132791417；111519983；19419223；123312015；131166955；113320878；121125337；132625703；132329695；128482612；59428200；127426018；128573270；43464922；82727909；119968002；132580929；131934713；114980717；129212780；116025324；114303513；121023819；112517783；121212445；132650171；113231449；124533072；116605403；132787756,93836436；131354939；106553509；112223201；84013649；31363950；132789993；132868586；132577796；77628788；132818335；132055189；109314633；108705160；132753777；96790856；126445011；130239668；132766055；74301667；118436256；103514193；132840217；79375529；118058552；29346112；96694496；132267459；131883153；132388932；127018889；24096265；111424879；117035382；132758036；129434352；132862273；80876724；90138955；116828314；120941678；49755129；36975477；132840168；132672130；57679813；129544592；128752878；130502027；132774262；132788121；70966880；111575267；132344583；106252024；45938658；132794413；132767487；120934175；110446063；129525851；52469658；101496465；132777526；132323598；132809294；45073170；114531523；132571646；17317665；123886934；131211116；56280606；80111525；122104048；131161157；111065159；82297913；55376243；132351406；126068130；126459885；40986317；31272753；5219126；33585389；132401826；132790516；108637339；132777988；96413185；79699310；102280041；75180823；79108710；131893268；132574987；42742431；47007141；107658536；132285932；32784806；121354588；50789318；49156470；82882137；113414216；128226166；92373403；132790929；54597431；112661463；50705224；132612397；67470344；129799442；110263025；44238703；97327170；124557854；132617555；132804118；69506840；119251514；132804472；94254919；132557634；47586824；132755770；117466171；520；61884147；132886483；132096151；115882832；29297634；127625029；56440799；37632870；34330673；83741913；120260073；129406618；132669129；121524341；65750735；125460851；107040752；528；121490078；122470059；119716135；116160828；103284780；109046294；108613330；77238319；132667336；81715839；86769017；35971361；131786518；132592351；129310580；129505758；35481388,132842557；92364088；132836155；132802336；57716636；78351320；57165404；114963948；116330792；132640366；66696636；98289836；132520857；122113613；132466659；132872527；101595901；82207362；128457153；25799573；92857583；113026796；48579945；123388843；16455871；18919845；29380617；65042836；112288926；132830845；123853711；112841513；112080189；5514948；129370008；125606415；120854521；129443841；110439102；32836113；125646622；131194268；130046035；117687437；130600911；104639512；84980703；132356914；36839717
色情,16096733；104802908；132843473；115127045；130844382；130968846；50267383；65109570；65606209；118749899；119547965；37181959；128523725；108656036；131452879；131014626；107025842；131651005；124536534；110430969；28606172；99622644；109492125；127889562；88704333；76585493；113318405；129413454；112121078；131680526；117037571；132659225；34195371；69700117；128616112；128575045；132285932；113133801；115465072；132835690；65214877；131802754；104352522；119094759；85583271；132836105；122139745；71365878；127061021；131276323；24626034；32652827；132532963；92939122；126631333；110032997；132735642；132730189；132843161；129571718；132840968；83394050；132592351；129437420；87347642；129942052；132830705；121273182；128954389；126509738；132842689；86566898；107040752；34603998；132281430；132788439；31570404；94044711；132833903；132840168；29034491；117463504；131516947；62353213；132830651；120444931；131161157；42454342；103854070；132761697；129254826；43658264；129993673；132716533；132489445；132777186；107886500；114672828；31795917；27911661；65215995；40330500；36630108；132581764；52369177；127501548；120498657；132771848；112384209；108924060；76955085；132233889；119317568；132796867；113637601；122145442；65252068；131577734；129169216；132830499；123414549；44402027；29297634；130109863；111932343；113179378；129697690；127836112；48661515；27509510；98257580；129314717；118745195；129054416；124075886；132859517；123172684；115993936；128443744；114426029；52458209；69986200；61260947；132663263；111281332；125783028；131672416；44907305；118287122；28520285；124668132；132680866；132821164；104695139；132717834；132843138；131007357；122954751,93520473；129030331；132105240；132527563；125262568；73247254；78533278；130498609；25210493；132626264；60475509；118650475；117136598；129249643；132873434；112092558；128850339；102585626；103576723；123873080；113225739；119716135；45415536；124537117；127611654；132710359；129088680；132267459；113531104；91943298；78562064；116714391；124067053；132685005；50341294；102445761；132886525；92030999；76384661；109314633；132777988；35980828；44195444；130088523；60260254；105076596；26662518；132875623；132580929；132725219；132279649；90233699；96468319；29177788；130338969；119026727；40182500；132753777；120517887；43930121；52469658；94686710；131597601；8616744；114960427；73478036；129516613；124429842；131844342；122262973；88467545；59234551；132841661；43775711；129939594；114138739；121056623；83708626；85008253；132123417；49533232；132669129；107696228；132825434；132825938；132511040；97443102；129587207；128960144；122208445；129813910；27270885；84719614；121233279；116708580；124221899；125205302；66672980；51621658；132753423；41731413；120934655；129276439；117482722；56567230；132751452；130379188；132666249；132786753；111422331；132711949；116083369；24958427；57825733；122985606；105593502；123162942；92728833；66576837；112038057；107635836；46753030；44961230；132317209；58465274；94695714；132617813；129072389；124518234；130399115；116225317；31488987；126123519；82134118；113901077；92839953；129310580；119194451；90065793；78610197；90290600；114623911；111468820；121354588；89767920；132388417；19439496；108093825；115729897；114980717；76653254；101010926；129367927；132783088；126516303；99070552；126411604；56280606；132747041；128453807；70984854；44238703；124277937；109897888；132839240；90003819；76899650；132181741；107071008；131954006；119087202；132877794；26574065；132790411；116803065；60888600；37567074；132312846；40044559；132860859；75749101；15722871；45124546；104956012；116402546；127889060；130244617；76061982；59910492；14919347；132842353；36927979；132455219；115250816；132803267；91497338；132763259；104486419；75616205；132706680；132067037；74288711；97168531；76104104；127983595；26158373；132463860；118576083；131211116；132660341；57138770；124896418；115303566；132775624；95917109；114880342；132755770；124540967；122941782；65827655；131166955；55577568；131992817；105989774；132698027；131883153；130005504；36605412；33050164；95428909；118391061；47007141；82727909；56497651；31884928；128541235；128872640；100994970；66331624；132609467；125992645；132852494；51682650；132775413；107295398；132867774；127266955；132126602；34594505；77830761；13640397；132784731；42750279；127064295；131497661；94248831；130859546；130159965；132459462；129053364；130998914；34263009；129636323；129749961；125538466；125840958；83486358；69621126；128459641；132621866；122104048；112517783；130051303；131374796；132046304；131092736；110982180；125740797；127030709；131219488；81715839；44778506；112651486；131656900；131350069；131431903；122470059；113079449；113414216；131476385；115882832；132757827；71707218；130126370；37851554；124516952；125355826；20567114；130606889；37758191；114966659；93365252；122054357；128573270；122200357；111424879；132806281；57056245；68237147；100740204；33004600；132651541；120412247；128623345；102525805；123296355；130338249；69930109；42713102；132750663；100304418；132704051；131470997；78713573；60006209；132640354；104799989；93766178；119493968；113097023；59144020；129576094；132268420；117829228；53054315；132330347；119452603；52046679；93512909；132785458；115128379；132725796；132809294；129289621；100245092；84677868；132114768；118458780；128083156；71025004；110260434；57315244；31272753；132759681；129370008；125513008；123550055；32006748；35844651；115088469；24081246；122328818；127023357；129496530；129813960；132357703；95285242；126917943；114963948；127901156；132729292；126447511；131893268；128392616；124809775；132502022；132100132；93163529；104977057；56270401；65723329；115528519；68467243；54170600；132488230；129191782；132860046；112912905；132724325；131186198；131043848；104706412；100621123；116160908；109477661；58502408；90138955；127299139；125204547；104925748；111369271；116144947；121194023；79375529；72765762；128912008；78860812；129406618；112288926；112841513；59428200；132752040；132699046；49243741；60618248；129799442；91325908；103308413；131719927；132816751；45357672；130371163；132770454；119662001；132220188；97488301；113768815；119324452；126132849；118736721；34002614；129535689；123353699；131275264；37632870；53155892；131786518；98312223；94171549；132494833；131902449；66696636；124220812；129594876；121644415；132804472；129535812；124963367；75397298；86328200；131076853；99887429；130268367；99158254；132686387；124066328；103521266；47377645；129560480；84473975；30661685；103690932；125911371；132815158；127339034；113162094；130739503；93796847；76979342；123845229；103534615；62868844；97615125；76982366；132858799；62124639；127310455；132576877；3413401；120391798；62192092；69635695；132801367；120757581；129329959；120304984；132813357；132791736；104738421；70803448；130440410；131807606；63322824；110534007；132607856；119585381；88622049；116281877；111675298；132013736；100259633；114083913；58878725；43980495；132838506；107633099；117028384；117051856；29346112；96897844；112582050；67470344；113157469；132839694；120935680；130194448；132624444；131366608；56440799；44132257；45938658；132666182；270590；80787456；132625534；129729095；132818335；131809956；88597990；132329173；36520929；132702897；77220940；105438711；131738882；37967833；131674816；45618930；129943935；91775300；111047956；120260073；110115602；96167822；80491518；49374049；126589246；61809744；30893307；37065663；35838879；115653544；80077089；116435924；132756293；132848998；114636593；120440242；118363820；132836155；70593039；121503541；127317172；132623391；129212780；90027855；120879680；119490848；129251436；78260630；131110047；130942289；130192224；129813618；132058111；126179939；96563255；29354217；33846225；131252095；68597766；127807235；130427215；125592497；129186285；129444979；106457217；132492426；120498506；130341496；129508698；29380617；83336622；132557634；97133724；132777526；132768707；117279904；132783087；94890610；120774259；113632046；119092859；63474430；29895061；99798336；129447731；117466171；131652655；132721326；70839894；129046762；132840217；129958510；132413027；132791791；82717877；126071996；21925506；119894956；81563003；132882225；128894278；79516017；130785247；57165404；132852018；132886483；101851818；73084332；131557035；132659215；22506147；23654729；132707665；131278167；132736923；114531523；51819187；87491735；131152617；132667336；113041755；92495246；26591304；127826141；132883100；132757884；107491356；25578178；132785475；23896859；132779300；132761934；109479467；114661761；132714793；132756569；111519983；61879604；111065159；128006249；132727687；81289834；58121627；127632080；132441549；84774434；22802163；128485701；71539118；35380320；117687437；39759820；99586219；114471759；132834517；89437867；132463044；127934734；128933760；119730028；82373999；21171793；31352892；132695116；43101306；91154354；129449646；124005435；121735661；106617239；38273757；132210893；68396240；112223201；33220699；88877653；91833462；116105672；129185009；114910566；78784725；79544479；47350032；91106596；131655365；65919284；92982801；117299168；58146118；92516305；66955370；128457837；132230379；132765331；34483326；97936101；132790941；132544054；114079645；53758305；121878570；51024652；56513941；113010312；119629624；130690830；88450980；132806824；68484005；130792378；130006478；119260527；132693957；96661479；124371090；82207362；132831107；132792712；132736762；99470323；110986045；68824873；129055101；56313115；132346863；59293780；132357395；96227699；131513259；105163150；124557854；55342290；84013649；130224849；72409078；119012548；115014550；118192051；116966157；111816356；128014886；58552410；86538867；80123252；132841460；128417880；90575039；69327413；131612842；31421433；42742431；112562410；127936073；73710703；98857658；128745343；100145428；119790120；72572263；79699310；132706899；117353762；127579500；132791417；132189380；112801864；87232342,92049922；116201617；89219769；131415052；90113286；5882139；94360654；119382468；34952915；132453002；132754803；132593027；14358155；119645271；108811124；94465305；132872173；39585327；89919461；60684614；112207058；52688668；113320878；129797946；33228737；120358833；129563875；117035382；129768610；131327096；118802258；119937407；132477825；124819716；74360312；118722116；128786346；26381754；132765590；98194962；62155370；112590601；46937289；121524918；132112534；119880781；131509877；32765236；27175102；132775313；92890615；98189560；70979149；40986317；92726813；128457153；132146157；129747634；49626212；131962947；102871674；132655201；114055530；92061146；118851017；39294607；132188034；88285044；115672307；112338784；125811277；79831130；108785032；132791106；132329695；127534315；76729611；96001176；122415341；74316096；127333058；128338258；95921682；125460851；127053291；77628788；127731979；90821627；130711003；132781343；130339113；77768721；132401826；24096265；130973465；78813842；123063545；40797607；132736950；128187826；54597431；79540461；129689949；132325148；122472193；101259190；130876539；132622753；124348312；35882843；127868359；126501623；124112801；130238434；49276818；127625029；132813429；117380938；131453443；129519139；36849970；95403006；57649197；22358665；16455871；131153342；114852033；123999814；131507526；132825568；110252955；132772544；9121128；121601689；88579715；132757896；125265319；79402318；120618491；91583704；28894684；67367718；97556176；115424172；132784978；130584035；87562392；128012062；114083707；110917439；89355753；31605775；129956078；132455591；96951116；48972284；131503713；25799573；132787234；128530838；130426453；131399606；25073253；131752522；117785953；23918109；110975044；127728626；113289143；30155037；97161888；132301001；57823507；30355221；128778478；122337367；121752618；108637339；132766055；129442625；73557320；132356914；117304343；132728252；129256245；129064624；33362014；125340309；129359045；100684684；50126483；100468471；60591100；96658851；34419161；28064716；130173247；132814442；132282475；76050216；31642328；96140351；132622654；114542516；131214383；132841668；129411568；105169585；128627664；112662906；108825211；129497884；132881054；58706892；121725005；121636810；132011433；93473624；114596816；66989328；107552166；52043481；131505255；100905013；132804118；132886329；129994052；129876522；36839717；130278876；119643312；121490078；114652764；132388932；114101913；131934713；55779127；132563879；70991561；129446211；65843988；129300347；122107437；122543328；132859848；132358211；96444105；67601656；5514948；129433567；129122955；118549145；116828314；132650581；113645633；72186818；126347719；51448779；30520614；97072699；106353351；119782536；127807439；127150715；112674550；132708407；101912811；126145469；122219251；93353148；73241705；130318955；125258097；127103508；129691425；123646454；128106321；104669046；131793607；95444944；80232205；128659181；123099781；34239532；127414784；48442408；67830619；31363950；40071237；130301996；132625703；93732254；19645140；128965546；38403678；108282075；60526580；66632241；121773140；113105430；83741913；126109864；132096151；117196949；132671000；88683620；84980703；113010073；114136037；129505758；125708021；124068996；18647646；37499953；83862610；132614526；116283771；103030102；71148638；93433854；91744371；118493458；105523336；128099398；132791427；106551216；46939941；125321047；95228429；50705224；128028055；132790929；117282041；90233506；101496465；132886810；74314575；127498623；33548931；103090311；77004767；103531294；132405063；19169370；126398787；82892132；124053741；114056764；132768243；132833840；127612272；123630004；116976954；87177795；121967159；113826320；87020897；122380365；120398235；120854521；90672160；127921911；112664461；132230147；111205429；101595901；132386531；72610741；126807681；94169298；132357402；11654502；115364970；97607692；131354939；48182924；122543101；122643839；96630845；132096827；121433607；43007086；128187077；132790516；132794877；12040608；125606415；77012641；8622915；127255729；130553611；128662359；111853136；59304412；129585556；36390778；108368380；124577625；132438689；132768513；31497736；125613496；112297757；35971361；125384969；128180285；36127635；129336414；93642444；120372502；120602668；129229904；132190335；21497204；127591967；30908089；94122257；115614218；91150516；26191847；128496908；126531457；127081588；124677611；132422015；127899730；131589675；113733271；116606114；132020596；84740692；113069199；101233054；69475087；94039007；131856225；132020196；121839412；124349462；122780796；111568841；76960449；126469288；132743551；123173100；101706980；119094748；42336461；113940901；79568549；90357011；117460500；131275723；100623185；51447034；114098190；124814943；132843097；119931712；94039022；78925862；132364842；81613427；121657161；109695138；77238319；77763024；65351945；84839932；79432293；130732010；106230373；132884035；127255154；96926522；75767535；35550217；92955313；44023700；64666834；132758172；43927326；70714704；85080047；127304243；109145454；110697266；43050361；89125387；33840666；110919269；132237120；125805938；33429141；124270040；112104650；84481210；132456811；116755634；129920337；91586606；132650171；76519543；131504530；132696717；113231449；46460764；120967585；119274930；110874699；132864790；131110231；110697154；130302675；96790856；108800001；63149954；132357183；132761476；123564003；128846234；116025324；100418413；90673358；20944193；87224561；132842557；129922670；4013730；92487938；127481650；42283931；115014864；109979571；129382041；29609410；112860460；30671673；132628057；132764409；98945159；34982372；30311381；131357914；72583329；129692279；130300710；131975334；47024610；122437847；131038912；56416631；104428996；32226103；118933177；132859097；132793963；49275128；72534981；132441550；127895514；83839933；94287877；122859895；122771111；132841896；129642545；121453027；126800944；102966824；118186523；34669674；35372773；127255012；129627289；92843167；80999193；103978677；132777112；132577796；94040805；132785496；125759442；130243053；43128224；88099745；45576764；116675813；110446063；109945491；104964227；110773268；74301667；103090860；36677078；130010116；118759345；132431663；122218965；108837740；124164621；105079889；126725477；132387266；125499613；132707465；131680511；132765088；132851039；121152464；132774262；127258124；104639512；126459885；132322040；94254919；123388843；26146132；130001904；132492705；114651522；91129358；27886180；119968002；104472416；119251514；74938856；126074124；131931922；132714057；132591436；86769017；120697410；63793240；121442788；90421148；125324279；78089231；132428317；125695466；99356505；118654027；99379465；49755129；2876152；124543147；6763445；132434041；109793866；130902714；118995927；128337994；61884147；107672302；126076777；114571105；96998871；124823710；23987941；119643533；123787712；71316960；43464922；83821240；117411655；112925950；132327298；132865887；131159302；47044149；68606967；99370233；132802879；91078572；132722146；44395030；121125337；111595385；127335668；73212703；126090718；119333262；116830621；75880420；91475904；129359235；130818488；109546842；131732344；44529404；106037256；45073170；31200438；116342188；128583647；123564004；123174488；34945249；108511163；88108902；104157635；39670180；126106355；120715940；128382135；108420829；130119307；128399155；131685091；73009799；97596362；63432948；41158081；47387239；129057824；113610654；111005758；129224810；127931389；113026796；129052199；127675112；14488497；73403387；130003683；100447126；29721658；121310244；130774785；116605403；127133794；132665242；130994595；129128062；111515567；128829461；132789401；119916974；91836372；132800136；127561727；128279421；118058552；46423061；106658635；130600911；47620219；132736528；37668791；128851646；127534139；125997649；116824731；14685439；36012663；32836113；33286644；27470240；112832809；79431312；128651515；55421504；96246775；5375504；132831296；128851384；128482612；132769232；126741241；31841725；132667794；40540425；124819690；109046294；129504449；125822989；132110494
一号领导声纹,,132285932；132703915；118417694；124066328；97790417；118654027；104639512；132835611；23388725；132813267；115364970；125805938；113238916,
暴恐,,131043848；127023357；45576764；129496530,
